refuel_id,truck_id,refuel_date,odometer_at_refuel,liters_refueled
RFL-00517,TRK-08,2024-03-06,323262,596.46
RFL-00518,TRK-05,2024-03-09,387362,783.13
RFL-00519,TRK-01,2024-03-10,451217,551.96
RFL-00520,TRK-09,2024-03-10,292743,607.29
RFL-00521,TRK-03,2024-03-11,398159,573.35
RFL-00522,TRK-06,2024-03-12,349403,627.82
RFL-00523,TRK-11,2024-03-13,245778,786.04
RFL-00524,TRK-08,2024-03-15,325100,871.21
RFL-00525,TRK-10,2024-03-15,238765,586.98
RFL-00526,TRK-04,2024-03-17,420014,595.27
RFL-00527,TRK-08,2024-03-18,326871,696.23
RFL-00528,TRK-01,2024-03-21,452815,542.91
RFL-00529,TRK-06,2024-03-22,351199,627.38
RFL-00530,TRK-09,2024-03-22,294273,635.11
RFL-00531,TRK-10,2024-03-23,240120,581.68
RFL-00532,TRK-08,2024-03-25,329087,762.14
RFL-00533,TRK-11,2024-03-25,248168,727.66
RFL-00534,TRK-05,2024-03-26,389308,652.76
RFL-00535,TRK-03,2024-03-31,399424,515.93
RFL-00536,TRK-08,2024-03-31,331150,724.20
RFL-00537,TRK-02,2024-04-01,437823,567.15
RFL-00538,TRK-06,2024-04-02,353142,633.44
RFL-00539,TRK-03,2024-04-05,400907,460.85
RFL-00540,TRK-05,2024-04-05,391199,667.85
RFL-00541,TRK-06,2024-04-05,355374,769.23
RFL-00542,TRK-11,2024-04-05,250016,597.91
RFL-00543,TRK-12,2024-04-07,212509,678.37
RFL-00544,TRK-01,2024-04-08,454248,599.75
RFL-00545,TRK-09,2024-04-09,296383,641.00
RFL-00546,TRK-02,2024-04-10,439948,645.48
RFL-00547,TRK-03,2024-04-10,402384,502.29
RFL-00548,TRK-04,2024-04-12,421787,631.65
RFL-00549,TRK-10,2024-04-12,241308,573.02
RFL-00550,TRK-11,2024-04-12,251652,655.57
RFL-00551,TRK-06,2024-04-15,356937,563.16
RFL-00552,TRK-08,2024-04-16,333414,795.94
RFL-00553,TRK-03,2024-04-19,404406,607.87
RFL-00554,TRK-12,2024-04-19,214713,678.14
RFL-00555,TRK-04,2024-04-20,423419,543.20
RFL-00556,TRK-01,2024-04-22,456103,682.62
RFL-00557,TRK-09,2024-04-23,297893,664.81
RFL-00558,TRK-08,2024-04-25,335496,770.53
RFL-00559,TRK-03,2024-04-26,405954,536.07
RFL-00560,TRK-05,2024-04-27,392568,567.61
RFL-00561,TRK-07,2024-04-27,320815,648.09
RFL-00562,TRK-02,2024-04-29,441676,630.53
RFL-00563,TRK-09,2024-04-29,299832,779.42
RFL-00564,TRK-06,2024-04-30,358621,621.04
RFL-00565,TRK-10,2024-05-02,243750,618.22
RFL-00566,TRK-04,2024-05-03,425164,636.46
RFL-00567,TRK-07,2024-05-04,322517,658.66
RFL-00568,TRK-08,2024-05-09,337669,597.02
RFL-00569,TRK-10,2024-05-10,245575,534.06
RFL-00570,TRK-02,2024-05-12,443555,594.29
RFL-00571,TRK-09,2024-05-12,301816,629.00
RFL-00572,TRK-12,2024-05-12,216494,705.05
RFL-00573,TRK-01,2024-05-14,457888,531.72
RFL-00574,TRK-04,2024-05-14,427150,633.75
RFL-00575,TRK-06,2024-05-16,361073,810.14
RFL-00576,TRK-08,2024-05-19,339562,678.98
RFL-00577,TRK-02,2024-05-22,445393,655.77
RFL-00578,TRK-12,2024-05-22,218541,611.62
RFL-00579,TRK-06,2024-05-23,363134,673.96
RFL-00580,TRK-11,2024-05-24,253076,595.22
RFL-00581,TRK-03,2024-05-27,407415,528.82
RFL-00582,TRK-07,2024-05-30,324812,641.15
RFL-00583,TRK-04,2024-05-31,429099,653.76
RFL-00584,TRK-02,2024-06-01,447197,659.87
RFL-00585,TRK-05,2024-06-02,394607,603.42
RFL-00586,TRK-09,2024-06-03,304026,759.35
RFL-00587,TRK-03,2024-06-04,408808,508.60
RFL-00588,TRK-10,2024-06-04,247219,552.03
RFL-00589,TRK-07,2024-06-07,326277,597.88
RFL-00590,TRK-12,2024-06-07,220701,649.70
RFL-00591,TRK-06,2024-06-10,365050,598.57
RFL-00592,TRK-11,2024-06-10,255055,651.13
RFL-00593,TRK-02,2024-06-14,449279,594.54
RFL-00594,TRK-04,2024-06-15,430623,610.52
RFL-00595,TRK-09,2024-06-15,305811,731.08
RFL-00596,TRK-12,2024-06-16,222711,725.13
RFL-00597,TRK-05,2024-06-18,395415,587.11
RFL-00598,TRK-06,2024-06-20,366587,702.16
RFL-00599,TRK-07,2024-06-21,328143,562.67
RFL-00600,TRK-11,2024-06-21,257015,742.05
RFL-00601,TRK-03,2024-06-23,410571,487.16
RFL-00602,TRK-10,2024-06-23,249114,595.06
RFL-00603,TRK-12,2024-06-24,224423,647.65
RFL-00604,TRK-04,2024-06-27,432258,695.51
RFL-00605,TRK-12,2024-06-27,225825,561.85
RFL-00606,TRK-03,2024-06-28,411985,480.91
RFL-00607,TRK-06,2024-06-29,368892,681.90
RFL-00608,TRK-11,2024-06-30,258941,574.83
RFL-00609,TRK-07,2024-07-01,330055,616.96
RFL-00610,TRK-06,2024-07-04,370690,713.82
RFL-00611,TRK-10,2024-07-04,251156,710.90
RFL-00612,TRK-09,2024-07-05,308178,847.77
RFL-00613,TRK-01,2024-07-06,459509,644.03
RFL-00614,TRK-04,2024-07-09,434165,735.48
RFL-00615,TRK-11,2024-07-10,261228,680.02
RFL-00616,TRK-03,2024-07-11,413312,467.79
RFL-00617,TRK-08,2024-07-12,341256,615.98
RFL-00618,TRK-04,2024-07-13,436044,606.91
RFL-00619,TRK-12,2024-07-13,227875,677.30
RFL-00620,TRK-06,2024-07-14,372752,736.77
RFL-00621,TRK-07,2024-07-14,332082,651.26
RFL-00622,TRK-08,2024-07-17,342501,625.78
RFL-00623,TRK-09,2024-07-18,310268,615.56
RFL-00624,TRK-08,2024-07-19,343970,579.74
RFL-00625,TRK-03,2024-07-20,414626,535.74
RFL-00626,TRK-11,2024-07-22,262745,619.62
RFL-00627,TRK-06,2024-07-24,374587,582.76
RFL-00628,TRK-04,2024-07-25,437750,594.12
RFL-00629,TRK-10,2024-07-25,253352,607.08
RFL-00630,TRK-07,2024-07-27,333932,771.53
RFL-00631,TRK-08,2024-07-28,346182,653.00
RFL-00632,TRK-12,2024-07-29,230018,623.25
RFL-00633,TRK-01,2024-07-30,461667,801.51
RFL-00634,TRK-09,2024-08-01,312049,620.99
RFL-00635,TRK-08,2024-08-03,348195,625.92
RFL-00636,TRK-04,2024-08-04,439950,739.51
RFL-00637,TRK-06,2024-08-05,376082,624.22
RFL-00638,TRK-11,2024-08-05,264895,732.22
RFL-00639,TRK-05,2024-08-07,397752,624.39
RFL-00640,TRK-07,2024-08-08,335645,584.12
RFL-00641,TRK-01,2024-08-09,463011,572.11
RFL-00642,TRK-03,2024-08-09,416216,532.74
RFL-00643,TRK-08,2024-08-10,349844,606.23
RFL-00644,TRK-12,2024-08-10,231926,656.61
RFL-00645,TRK-04,2024-08-11,441353,536.07
RFL-00646,TRK-06,2024-08-11,377957,624.26
RFL-00647,TRK-10,2024-08-12,254919,616.84
RFL-00648,TRK-03,2024-08-13,417251,492.28
RFL-00649,TRK-05,2024-08-15,399258,643.88
RFL-00650,TRK-04,2024-08-16,442751,579.43
RFL-00651,TRK-11,2024-08-16,266654,608.67
RFL-00652,TRK-07,2024-08-21,338172,768.64
RFL-00653,TRK-09,2024-08-22,313879,721.51
RFL-00654,TRK-12,2024-08-22,233509,627.35
RFL-00655,TRK-04,2024-08-23,444517,826.93
RFL-00656,TRK-05,2024-08-23,402037,688.23
RFL-00657,TRK-06,2024-08-23,379798,661.07
RFL-00658,TRK-08,2024-08-25,351657,639.18
RFL-00659,TRK-10,2024-08-28,256499,679.37
RFL-00660,TRK-09,2024-08-29,315710,767.02
RFL-00661,TRK-11,2024-08-29,268394,608.01
RFL-00662,TRK-07,2024-08-31,339878,582.28
RFL-00663,TRK-04,2024-09-03,446635,609.41
RFL-00664,TRK-03,2024-09-04,419637,633.77
RFL-00665,TRK-05,2024-09-04,403695,628.02
RFL-00666,TRK-07,2024-09-05,341972,669.74
RFL-00667,TRK-01,2024-09-07,464784,693.19
RFL-00668,TRK-06,2024-09-07,381244,636.97
RFL-00669,TRK-08,2024-09-07,353225,646.66
RFL-00670,TRK-02,2024-09-08,450714,592.73
RFL-00671,TRK-03,2024-09-09,420911,500.88
RFL-00672,TRK-12,2024-09-10,235688,623.29
RFL-00673,TRK-04,2024-09-14,448370,579.16
RFL-00674,TRK-05,2024-09-14,405641,595.72
RFL-00675,TRK-09,2024-09-14,317374,789.25
RFL-00676,TRK-07,2024-09-15,343738,601.44
RFL-00677,TRK-02,2024-09-16,452187,539.59
RFL-00678,TRK-08,2024-09-17,355013,706.15
RFL-00679,TRK-11,2024-09-17,269946,599.24
RFL-00680,TRK-10,2024-09-18,258538,572.48
RFL-00681,TRK-03,2024-09-21,422439,507.51
RFL-00682,TRK-01,2024-09-23,466891,523.09
RFL-00683,TRK-05,2024-09-23,407999,755.25
RFL-00684,TRK-11,2024-09-23,271546,558.71
RFL-00685,TRK-04,2024-09-25,449945,626.64
RFL-00686,TRK-11,2024-09-25,273087,667.70
RFL-00687,TRK-05,2024-09-26,409438,597.17
RFL-00688,TRK-06,2024-09-26,383154,727.21
RFL-00689,TRK-12,2024-09-26,237577,593.73
RFL-00690,TRK-08,2024-09-29,356710,688.13
RFL-00691,TRK-02,2024-09-30,453455,503.48
RFL-00692,TRK-09,2024-10-02,319702,658.36
RFL-00693,TRK-05,2024-10-03,411478,590.00
RFL-00694,TRK-08,2024-10-04,358493,680.24
RFL-00695,TRK-07,2024-10-05,345518,656.56
RFL-00696,TRK-08,2024-10-07,360695,756.66
RFL-00697,TRK-01,2024-10-09,468324,661.92
RFL-00698,TRK-03,2024-10-09,423824,650.99
RFL-00699,TRK-04,2024-10-10,451781,819.97
RFL-00700,TRK-11,2024-10-10,275175,601.07
RFL-00701,TRK-06,2024-10-11,384926,570.62
RFL-00702,TRK-10,2024-10-11,259954,605.70
RFL-00703,TRK-04,2024-10-19,453135,562.32
RFL-00704,TRK-06,2024-10-20,386743,624.04
RFL-00705,TRK-11,2024-10-22,276677,663.13
RFL-00706,TRK-02,2024-10-23,455059,534.85
RFL-00707,TRK-08,2024-10-25,362660,680.12
RFL-00708,TRK-03,2024-10-26,425746,533.36
RFL-00709,TRK-10,2024-10-26,262461,633.28
RFL-00710,TRK-12,2024-10-28,239398,681.83
RFL-00711,TRK-09,2024-10-29,321635,675.08
RFL-00712,TRK-04,2024-10-31,455059,611.84
RFL-00713,TRK-06,2024-10-31,388187,618.81
